imdb_id,title,year,genre,rating,plot,poster
tt0001889,Skæbnebæltet,1911,N/A,3.9,N/A,N/A
tt0001892,Den sorte drøm,1911,Drama,5.8,"Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, where she falls in his arms. At her party...",https://m.media-amazon.com/images/M/MV5BZjg0YjAxZDctMDU5MS00NzZiLTkwMjctODczNjNjNjhhYTRhXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
tt0001911,Nell Gwynne,1911,"Biography, Drama, History",5.0,"At the opening of the story, Nell Gwynne, a popular English actress, is seen as an orange girl selling her goods in and around the old Drury Theater. While she is bantering, Lady Olivia Vernon, the ward of Lord Jeffreys, Chief Jus...",https://m.media-amazon.com/images/M/MV5BZjlhYWI4OTUtNjVkMC00MzMxLWI4ZjUtNzMzOWRjOTA2MTUzXkEyXkFqcGdeQXVyMjQ0ODE4OTU@._V1_SX300.jpg
tt0001964,The Traitress,1911,Drama,5.9,"A woman betrays the regiment location in which the officer she is interested in is assigned because he despises her, only to regret it when he is caught and try to free him.",https://m.media-amazon.com/images/M/MV5BNjg1YzJkY2ItMTY5Ny00NjJjLTkyMjQtNGMxYTg2ZjNhYzMxXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg
tt0001993,L'électrocuté,1911,Sci-Fi,4.6,The body of a cook is brought to life by an electrician through the use of electrodes.,N/A
tt0001998,The Adventures of Lieutenant Petrosino,1912,Drama,4.4,"The story of Lt. Joseph Petrosino, an Italian-American New York City police detective, who was assigned to investigate the Sicilian Mafia, which was beginning to become a major problem in New York. He did such a good job that the ...",https://m.media-amazon.com/images/M/MV5BNmY2YTI1YzgtZjU4NS00OTBlLWFhMDItMjk4ZjcyZmI3NmI0XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
tt0002022,Anfisa,1912,Drama,N/A,The Kostomarov family falls apart when a female relative joins the household.,https://m.media-amazon.com/images/M/MV5BMmQ1YmUzMzYtZGZiOC00OTk1LTgyNzUtNjExYmZjNDhjZDMyXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg
tt0002026,Anny - en gatepiges roman,1912,"Drama, Romance",4.0,Anny works in a cigar-shop. Wholesaler Willmann fancy Anny and hire her as his housemaid. Soon the two have an intimate relationship. But Anny finds someone new. At a carnival. Her next step is to get Willman's son to get to his f...,https://m.media-amazon.com/images/M/MV5BYTRhYzYyZjgtM2UzZS00YWU2LWE1MjctNDM4MmU5MmNlYjMwXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg
tt0002031,As You Like It,1912,N/A,4.8,"After the overthrowing of Duke Senior by his tyrannical brother, Senior's daughter Rosalind disguises herself as a man and sets out to find her banished father while also counseling her clumsy suitor Orlando in the art of wooing.",https://m.media-amazon.com/images/M/MV5BN2UyNDNkMDctZTdmZi00ZjFkLWFjMGUtNDY2ZGJkNjY0ZGE5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
tt0002046,La Barrera número 13,1913,N/A,N/A,N/A,N/A
tt0002101,Cleopatra,1912,"Drama, History",5.1,The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.,https://m.media-amazon.com/images/M/MV5BZTcyMGU4ZmYtYTVmYS00NWFkLWExM2MtYWRlYTlhOWYxNjYwXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg
tt0002130,Dante's Inferno,1911,"Adventure, Drama, Fantasy",7.0,"1911 silent film and Italy's first full-length feature film, loosely adapted from ""Inferno"", the first canticle of Dante Alighieri's ""Divine Comedy"". It chronicles Dante's travel through the Circles of Hell, guided by the poet Vir...",https://m.media-amazon.com/images/M/MV5BNjlmMWUzMDYtZjlkYi00Yjg2LWFmZTQtNGEyZDA1ZjYwNjhhXkEyXkFqcGc@._V1_SX300.jpg
tt0002153,The Great Circus Catastrophe,1912,Drama,5.9,A melodrama about the destitute Count lured into a circus environment and forced to show their daring high up in the circus dome.,https://m.media-amazon.com/images/M/MV5BYTNkMjAxOGEtNGE2NC00YzhlLWE4Y2YtNTgwNTUzZWQ2MDc4XkEyXkFqcGdeQXVyNjczMDkzOTA@._V1_SX300.jpg
tt0002186,The Flying Circus,1912,Drama,6.4,"The Flying Circus was the largest traveling artist band in the country, and among its favorite artists were the rope-dancer, Laurento and the snake tamer, Ula Kiri. The hot blooded gypsy snake tamer is passionately in love with th...",https://m.media-amazon.com/images/M/MV5BZTljZDk2YjUtYzA4ZC00ZjFiLTk2NmYtNTcwZWNiYTY4ZWI4XkEyXkFqcGdeQXVyODg3Mjk3Mjc@._V1_SX300.jpg
tt0002199,From the Manger to the Cross,1912,"Biography, Drama",5.8,"An account of the life of Jesus Christ according to the New Testament, told as a series of tableaus interspersed with Bible verses.",https://m.media-amazon.com/images/M/MV5BZTQ3MDdkMWEtYjJmMS00YmE3LTgxMDktOWUwZjczMTdhNGQ1XkEyXkFqcGdeQXVyODg3Mjk3Mjc@._V1_SX300.jpg
tt0002220,Grannie,1912,N/A,4.4,"There is no documentation that a film bearing this title was directed by D.W. Griffith, or was produced by Biograph at this time. It may have been suspended before completion or else released under another title.",N/A
tt0002262,Il y a des pieds au plafond,1912,N/A,N/A,N/A,N/A
tt0002305,Life of Villa,1912,"Documentary, War",7.7,"Although some scenes were re-enacted after the fact, this is a real documentary on the struggle of Mexican revolutionary Pancho Villa to overthrow dictator Porfirio Díaz . Directors Christy Cabanne and Raoul Walsh took a camera cr...",N/A
tt0002337,The Mail Order Wife,1912,N/A,N/A,"John White's sweetheart, May Webster, refuses to marry him while her old father is in need of her, and John goes west to take a government farm. Finding that their two ranch grants adjoin each other, he and Bob Strong become partn...",https://m.media-amazon.com/images/M/MV5BOTJkYzFiYjEtYThmMC00YTI4LTgyYmMtOWM3NDU5ODFiMjllXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
tt0002375,La mort du duc d'Enghien,1912,N/A,5.6,N/A,N/A
tt0002395,Le nègre blanc,1912,N/A,N/A,N/A,N/A
tt0002405,Oliver Twist,1912,Drama,5.3,An orphan in early 19th century England escapes the poorhouse only to fall among a gang of pickpockets in London.,https://m.media-amazon.com/images/M/MV5BOGE5YWVlYzctZTE1NS00ZmQ4LWJjZWQtNmFhYjU0Nzk3MzBmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
tt0002406,Oliver Twist,1912,Drama,5.6,"An orphan named Oliver Twist meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",N/A
tt0002423,Passion,1919,"Biography, Drama, Romance",6.6,"The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.",https://m.media-amazon.com/images/M/MV5BODU0ZGVkMzYtNmQ2NC00YTMxLWEwOGUtNzEyMjM4YTAxNDkwXkEyXkFqcGc@._V1_SX300.jpg
tt0002431,La pierre philosophe,1912,N/A,5.0,N/A,N/A
tt0002445,Quo Vadis?,1913,"Drama, History",6.2,"An epic Italian film, ""Quo Vadis"" influenced many of the later movies.",https://m.media-amazon.com/images/M/MV5BOTkyNjk5NzA4Nl5BMl5BanBnXkFtZTgwMDY1NjkwMjE@._V1_SX300.jpg
tt0002452,The Independence of Romania,1912,"History, War",6.4,The movie depicts the Romanian War of Independence (1877-1878).,https://m.media-amazon.com/images/M/MV5BOTFlZmRmYzgtZWNlMy00NmQ0LTg0YzktYWFhYzhmZWVkNmVmXkEyXkFqcGdeQXVyMTk3NTc0MTk@._V1_SX300.jpg
tt0002461,Richard III,1912,Drama,5.7,Richard of Gloucester uses manipulation and murder to gain the English throne.,https://m.media-amazon.com/images/M/MV5BMTQ1ODY2NTU4OF5BMl5BanBnXkFtZTgwNTc3NjU4MDE@._V1_SX300.jpg
tt0002500,The Black Chancellor,1912,Drama,6.2,"Chancellor von Rallenstein forces Princess Irene to marry Prince Deima instead of her true love, Pawlow. The secret lovers seek to get married anyway, sending the Chancellor into a rage.",https://m.media-amazon.com/images/M/MV5BNDkyOTFkNWUtNDQ3MC00NGY2LWFmN2MtN2MwNzM2ZTg3ZjZkXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
tt0002514,Saved in Mid-Air,1912,Drama,4.2,"""The Black Masks"", a secret political society, involves the beautiful agent Lydia to apprehend an important official document. Lieutenant von Muehlen is a trusted member of another secret society. He is on the same mission.",https://m.media-amazon.com/images/M/MV5BYmM2YmM0NjMtYjBlZS00N2I4LTgzNTMtYmU2YTZlZDlmMGRjXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
tt0002555,Az utolsó bohém,1913,"Drama, Romance",5.3,N/A,https://m.media-amazon.com/images/M/MV5BMmM4Mjk0YjQtNTAxZi00NGQ4LTgyZWQtYjlmYWZkZDUzN2U0XkEyXkFqcGdeQXVyNzA1OTk3Mw@@._V1_SX300.jpg
tt0002556,Vampyrdanserinden,1912,N/A,6.0,"The man-hungry ""vampire,"" later to be popularized by America's Theda Bara, made her screen debut in this Danish melodrama directed by August Blom. Clara Wieth starred in the title role of the Vampire Dancer, which is just what she...",https://m.media-amazon.com/images/M/MV5BZWY5ODllYzEtODRhYS00M2I0LThlOTktMDU3NGI0ODZiZmQ5XkEyXkFqcGc@._V1_SX300.jpg
tt0002574,What Happened to Mary,1912,"Action, Drama, Thriller",6.1,"The forerunner of all serials, ""What Happened to Mary"" was a series of 12 monthly one-reel episodes, each a complete entity in itself, revolving its immediate dramatic and melodramatic problems within the framework of a single epi...",https://m.media-amazon.com/images/M/MV5BM2U0OTU4N2YtZGY2Ny00ZmQxLTliMTItMWI2NmRlNmU5YzI4XkEyXkFqcGdeQXVyNzQ1NDIxMDQ@._V1_SX300.jpg
tt0002588,Zigomar contre Nick Carter,1912,"Crime, Thriller",6.0,"Nick Carter, the famous detective, is ordered to prosecute the gang of Zigomar. Carter gets into various thorny situations but manages to escape every time, helped by Olga, a former girlfriend of Zigomar.",https://m.media-amazon.com/images/M/MV5BNWNjYTlhOTUtNWJkYS00ZWJlLTg2MjUtM2M2ZGQ5Nzg2NjUxXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_SX300.jpg
tt0002591,Zu spät,1913,N/A,6.2,N/A,N/A
tt0002605,The Adventures of Kathlyn,1913,Adventure,5.5,"The daughter of an adventurer in India is kidnapped by a native king, whom she is forced to marry. She has several adventures battling natives and wild animals.",https://m.media-amazon.com/images/M/MV5BZWRiOTg2ZDUtOTU4YS00NTE2LWI5ZDAtZTUzMzk2MDA0NjdlXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
tt0002628,Der Andere,1913,"Drama, Thriller",5.6,"A man has an accident while out riding his horse one day. He soon discovers that he now has a split personality, and that his alternate is helping a criminal to rob his house.",https://m.media-amazon.com/images/M/MV5BNzFlYzNmODEtMDM1Mi00OTdhLWEzYjgtZDJjNzVjMDBlYjNjXkEyXkFqcGdeQXVyNDMzNDQ4ODA@._V1_SX300.jpg
tt0002637,Arizona,1913,Western,7.7,An officer in the U.S. Cavalry sacrifices his reputation to save that of the unfaithful wife of his superior officer.,https://m.media-amazon.com/images/M/MV5BZTI5OWU0NWMtNTkyNC00YWE2LTg1YzUtOWZlYTEwZDc0MDQ4XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
tt0002642,The Heir to Skjoldborg,1914,Drama,N/A,N/A,N/A
tt0002646,Atlantis,1913,Drama,6.5,"After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.",https://m.media-amazon.com/images/M/MV5BZTE4ZTAyODUtNmE5Yi00OThkLTk2OGItYTE4NWI4ZjQ4YzY5XkEyXkFqcGc@._V1_SX300.jpg
tt0002669,The Battle of Gettysburg,1913,"Drama, War",6.6,"A young woman's sweetheart fights for the Union, while her brother fights for the Confederates, in the pivotal 1863 battle of the U.S. Civil War.",https://m.media-amazon.com/images/M/MV5BOTFlYzMzNWUtYmI0Ni00MjA5LThjODUtMzJmYzliODExZmRkXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
tt0002739,Carmen,1914,N/A,2.5,N/A,N/A
tt0002767,The Count of Monte Cristo,1913,"Drama, History",5.5,"A French sailor, imprisoned for years on false charges of conpiring against the king, escapes and exacts revenge on his accusers.",https://m.media-amazon.com/images/M/MV5BN2NmNTMzYjktYWI4MC00YTA3LThkYzQtZjMwMjQyYTZmNjgwXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_SX300.jpg
tt0002785,La dame de Monsoreau,1913,N/A,N/A,N/A,N/A
tt0002801,Le diamant noir,1913,Short,5.5,"Luc Ogier is the secretary of a rich nobleman. Engaged to the charming Linke, he looks forward to the day of their wedding. Unfortunately, a valuable jewel is stolen and not only is Luc wrongly accused of the theft but all turn ag...",https://m.media-amazon.com/images/M/MV5BZjM0ZTZiOWYtMmQ2My00ZWI2LWJiZWItZWI5NTVmZjlmNGM3XkEyXkFqcGdeQXVyNjczMDkzOTA@._V1_SX300.jpg
tt0002820,East Lynne,1913,Drama,N/A,"An aristocratic woman, Lady Isabel, leaves her husband and children when she suspects him of adultery, a notion which had been suggested to her by the scheming and murderous Captain Levison. Life on the continent with Levison does...",N/A
tt0002822,What 80 Million Women Want,1913,"Crime, Drama, Romance",4.0,A suffragist exposes a corrupt political boss who had compromised her lawyer fiancé.,https://m.media-amazon.com/images/M/MV5BMTU1NzcxODMxM15BMl5BanBnXkFtZTgwNzY1NzEwNzE@._V1_SX300.jpg
tt0002832,Evangeline,1914,Drama,7.5,"PART I: Evangeline and Gabriel as children are being taught their lessons by Father Felician, priest and pedagogue. After their lessons they hurry to the forge of Basil, the blacksmith, to watch him at his work. Thus passed a few ...",https://m.media-amazon.com/images/M/MV5BZjI1ZGViMDMtOWQwYy00NzA1LWEyYTktMTZiOGYxYjZiYjU3XkEyXkFqcGdeQXVyMDk1ODM3MA@@._V1_SX300.jpg
tt0002844,Fantômas: In the Shadow of the Guillotine,1913,"Crime, Drama",6.9,"Inspector Juve is tasked to capture the infamous criminal genius Fantômas who, ruthless and particularly elusive, changes his appearance and holds Paris' high society in a crippling grasp.",https://m.media-amazon.com/images/M/MV5BMTQxNDAxNDk0Ml5BMl5BanBnXkFtZTgwMDQ0ODEwMzE@._V1_SX300.jpg
tt0002885,From Dusk to Dawn,1913,Drama,6.0,"An employee of an iron works is fired as a dangerous agitator, and after his friend dies in an explosion at the iron works, he runs for governor on a labor ticket.",https://m.media-amazon.com/images/M/MV5BNjJjMWMxN2EtZTk2NC00YjVjLThlZDctZDYyMTQ3ZTQwYzA5XkEyXkFqcGc@._V1_SX300.jpg
tt0002898,"Germinal; or, The Toll of Labor",1913,Drama,6.9,"The mechanic Etienne Lantier is a competent workman out of a job, whose tempestuous disposition is more than atoned for by a good heart. With bundle in hand he looks for work from town to town and in vain until he comes to the coa...",https://m.media-amazon.com/images/M/MV5BYzdiZWExYzUtMGVlYy00MTNmLTgyOGEtMWY1MDliOGY5NmUyXkEyXkFqcGc@._V1_SX300.jpg
tt0002917,Brother Against Brother,1913,Drama,5.6,"Two brothers compete for the love of a woman while the impending war threatens to separate them from both sides of the border. Based on the novel ""La Débâcle"" by Émile Zola.",https://m.media-amazon.com/images/M/MV5BOTdlMWFjNWQtYzc2YS00NjhlLTkxNTctYzRjZTY0YWU1ZDM3XkEyXkFqcGc@._V1_SX300.jpg
